FID,x,y,prb,old_pt,id,POINT_X,POINT_Y,Flow,Panel,Wshed,Order_100K
61,7673798.297880435400000,665712.547835317670000,0.000293579770230,0.000000000000000,0892,-122.559734899000010,45.474193522900002,Perennial,2,Johnson Creek,2
62,7654071.392387246700000,704771.113938075020000,0.000293579770230,0.000000000000000,0961,-122.640644541000000,45.579875828699997,Perennial,2,Columbia Slough,2
63,7689388.788243264000000,666417.156577436370000,0.000293579770230,0.000000000000000,1020,-122.499044037000000,45.477199433000003,Perennial,2,Johnson Creek,2
64,7626938.279617899100000,676425.313401269140000,0.000293579770230,1132.000000000000000,0170,-122.743501635000000,45.500142627999999,Perennial,3,Tualatin River,1
65,7610469.971234711800000,714798.595783011990000,0.000293579770230,0.000000000000000,0313,-122.811986405000000,45.604072112799997,Intermittent,3,Willamette Streams,1
66,7646464.505668652200000,707306.356419392400000,0.000293579770230,1442.000000000000000,0337,-122.670609476000000,45.586269989100003,Perennial,3,Columbia Slough,2
67,7617548.991807610700000,702515.155465338610000,0.000293579770230,0.000000000000000,0361,-122.782981582000010,45.570948934500002,Intermittent,3,Willamette Streams,1
68,7647126.391469918200000,658745.393044620750000,0.000293579770230,0.000000000000000,0800,-122.662947431000010,45.453179561699997,Perennial,3,Willamette Streams,1
69,7605545.021689622700000,711093.984939603600000,0.000293579770230,0.000000000000000,0953,-122.830804075000000,45.593527937899999,Intermittent,3,Tualatin River,1
70,7643687.514845501600000,655737.950965540830000,0.000293579770230,0.000000000000000,0976,-122.676027989000000,45.444680688900000,Intermittent,3,Tryon Creek,1
71,7630868.732790047300000,671689.593444473580000,0.000293579770230,1057.000000000000000,1002,-122.727668909000000,45.487457215600003,Perennial,3,Fanno Creek,2
72,7632184.278218074700000,664263.333335510220000,0.000293579770230,944.000000000000000,1082,-122.721744960000000,45.467196210300003,Intermittent,3,Tualatin River,1
73,7617227.601191141600000,690711.547896760980000,0.000293579770230,1296.000000000000000,1130,-122.782933817000000,45.538563798500000,Perennial,3,Tualatin River,1
74,7677161.443370029300000,665924.774855294730000,0.000293579770230,968.000000000000000,1212,-122.546649294000010,45.475009806099997,Perennial,3,Johnson Creek,2
75,7652512.542959692000000,663639.417555008900000,0.000293579770230,927.000000000000000,1292,-122.642471083000000,45.466991323300000,Perennial,3,Johnson Creek,1
76,7646677.772539948100000,657447.902716179490000,0.000293579770230,0.000000000000000,1312,-122.664559587000000,45.449589224999997,Perennial,3,Willamette Streams,1
77,7664893.566339586900000,659053.713951141570000,0.000293579770230,864.000000000000000,1376,-122.593764474000000,45.455308516000002,Perennial,3,Johnson Creek,2
78,7679637.901574805400000,665468.312007874250000,0.000293579770230,956.000000000000000,1404,-122.536953225000000,45.473929899100000,Perennial,3,Johnson Creek,2
79,7610417.623726649200000,717697.142195720460000,0.000293579770230,0.000000000000000,1593,-122.812514988000000,45.612014317300002,Perennial,3,Willamette Streams,1
80,7622623.059950697200000,728136.967619810250000,0.000293579770230,1605.000000000000000,1781,-122.765980957000000,45.641583364900001,Perennial,3,Columbia Slough,2
81,7643869.955951875100000,650218.300524935130000,0.000293579770230,0.000000000000000,1872,-122.674738551000000,45.429560692599999,Perennial,3,Tryon Creek,1
82,7673118.428220841100000,662641.243678629630000,0.000293579770230,0.000000000000000,1916,-122.562078853000000,45.465724991599998,Perennial,3,Johnson Creek,1
83,7642542.993317694400000,654223.567417927780000,0.000293579770230,0.000000000000000,2000,-122.680326592000000,45.440444024199998,Perennial,3,Tryon Creek,2
84,7645320.280276333900000,651282.004886481910000,0.000293579770230,0.000000000000000,0848,-122.669202367000000,45.432584032900003,Intermittent,3,Tryon Creek,1
85,7634256.395150059800000,655896.314625231900000,0.000293579770230,818.000000000000000,1010,-122.712777973000000,45.444412376300001,Intermittent,3,Tryon Creek,1
86,7622231.158792644700000,690343.966535434130000,0.000293579770230,1293.000000000000000,1102,-122.763373487000000,45.537942110800003,Intermittent,3,Tualatin River,1
87,7622566.943115064900000,697147.693947346880000,0.000293579770230,0.000000000000000,0393,-122.762807131000000,45.556620862800003,Intermittent,3,Willamette Streams,1
88,7619373.236810307000000,698290.325960982010000,0.000293579770230,0.000000000000000,0409,-122.775396119000010,45.559507482999997,Intermittent,3,Willamette Streams,1
89,7681626.000000000000000,661452.000000000230000,0.000293579770230,897.000000000000000,0940,-122.528812237000000,45.463054974700000,Intermittent,3,Johnson Creek,1
90,7674672.521289180000000,660104.026202067730000,0.000293579770230,0.000000000000000,1084,-122.555771677000000,45.458876988800000,Intermittent,3,Johnson Creek,1
